Series,S,Years,Link,Country,Runtime,tags,Show Description,Youtube link,Episodes count,Netflix,Prime Video,Hulu,Disney+,Apple TV+,CBS All Access,Dish Network,Sling TV,NOW TV,Philo,AMC Network,AT & T TV                                                   ,Peacock TV,DIRECTV Stream,ESPN+,Paramount+,ROKU,Showtime,Starz,Vidgo,Xfinity
Dawson's Creek,6,1998–2003,https://www.imdb.com/title/tt0118300/?ref_=nv_sr_srsg_0_tt_6_nm_2_q_Dawson%2520creek,United States,43,"drama, romance, 90s, 2000s, usa, christmas, valentine's, halloween","The show follows the lives of a group of friends - Dawson, Joey, Pacey, and Jen - as they navigate the challenges of adolescence and young adulthood in the fictional town of Capeside, Massachusetts.",,"The show aired 2 Christmas episodes, 1 Thanksgiving episode, 23 Halloween episodes, and 1 Valentine's Day episode.",,,,,,,,,,,,,,,,,,,,,
Black-ish,8,2014–2022,https://www.imdb.com/title/tt3487356/?ref_=fn_al_tt_1,United States,22,"comedy, family, sitcom, 2020s, 2010s, usa, christmas, halloween, thanksgiving, valentine's","An upper-middle-class African American family tackles societal issues related to race, culture, and identity in this humorous family sitcom.",,"The show aired 6 Christmas episodes, 1 Thanksgiving episode, 5 Halloween episodes, and 3 Valentine's Day episodes.",,,,,,,,,,,,,,,,,,,,,
Boy Meets World,7,1993–2014,https://www.imdb.com/title/tt0105958/?ref_=fn_al_tt_1,United States,22,"comedy, drama, family, 2000s, 90s, 2010s, usa, christmas, thanksgiving, new year, halloween, valentine's",Join Cory Matthews and his friends as they navigate adolescence in this classic coming-of-age series.,,"The show aired 4 Christmas episodes, 2 Thanksgiving episodes, 2 Halloween episodes, 1 New Year episode, and 4 Valentine's Day episode.",,,,,,,,,,,,,,,,,,,,,
Dharma & Greg,5,1997–2002,https://www.imdb.com/title/tt0118303/?ref_=nv_sr_srsg_0_tt_2_nm_0_q_Dharma%2520%2526%2520Greg,United States,22,"comedy, romance, sitcom, 2000s, 90s, usa, christmas, halloween, thanksgiving, valentine's","A conservative lawyer and a free-spirited yoga instructor fall in love and get married on their first date.  Despite their differences, they complement each other well.",,"The show aired 1 Christmas episode, 3 Thanksgiving episodes, 2 Halloween episodes, and 3 Valentine's Day episodes.",,,,,,,,,,,,,,,,,,,,,
Law & Order. Organized Crime,3,2021-,https://www.imdb.com/title/tt12677870/,United States,43,"crime, drama, thriller, 2020s, usa, christmas","After a personal tragedy, Stabler rejoins the NYPD and focuses on fighting organized crime.",,The show aired 2 Christmas episodes.,,,,,,,,,,,,,,,,,,,,,
Orange Is the New Black,7,2013–2019,https://www.imdb.com/title/tt2372162/?ref_=nv_sr_srsg_0_tt_4_nm_4_q_Orange%2520is%2520the%2520new%2520black,United States,51,"comedy, drama, crime, 2010s, usa, christmas, thanksgiving, valentine's","Piper Chapman, convicted of a drug money crime, faces a year and a half in prison and must confront the harsh reality of life behind bars in this drama series.",,"The show aired 1 Christmas episode, 1 Thanksgiving episode, and 1 Valentine's Day episode.",,,,,,,,,,,,,,,,,,,,,
Pretty Little Liars,7,2010–2017,https://www.imdb.com/title/tt1578873/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_Pretty%2520little%2520liars,United States,43,"romance, drama, mystery, thriller, 2010s, usa, christmas, halloween",A teen mystery-thriller about a group of high school girls whose lives are turned upside down by the disappearance of their friend and the mysterious messages from an unknown person.,,"The show aired 1 Christmas episode, and 2 Halloween episodes.",,,,,,,,,,,,,,,,,,,,,
Lie to Me,3,2009–2011,https://www.imdb.com/title/tt1235099/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_Lie%2520to%2520me,United States,43,"crime, drama, mystery, thriller, 2010s, usa, christmas",A crime drama series about a deception expert who helps law enforcement agencies solve crimes by reading micro-expressions and body language.,,The show aired 1 Christmas episode,,,,,,,,,,,,,,,,,,,,,
Castle,8,2009–2016,https://www.imdb.com/title/tt1219024/?ref_=nv_sr_srsg_0_tt_6_nm_2_q_Castle,United States,,"comedy, crime, romance, drama, 2010s, usa, christmas, halloween, valentine's",A bestselling mystery writer teams up with a NYPD detective to solve crimes in this witty crime procedural.,,"The show aired 2 Christmas episodes, 1 Halloween episode, and 1 Valentine's Day episode.",,,,,,,,,,,,,,,,,,,,,
Designing Women,7,1986–1993,https://www.imdb.com/title/tt0090418/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_Designing%2520Women,United States,30,"comedy, sitcom, 80s, 90s, usa, christmas, halloween, thanksgiving, new year","A sitcom about four strong-willed women who own an interior decorating firm in Atlanta, Georgia, tackling issues related to feminism, politics, and relationships.",,"The show aired 2 Christmas episodes, 1 Thanksgiving episode, 1 Halloween episode, and 2 New Year episodes. ",,,,,,,,,,,,,,,,,,,,,
Veronica Mars,4,2004–2019,https://www.imdb.com/title/tt0412253/?ref_=nv_sr_srsg_0_tt_7_nm_1_q_Veronica%2520Mars,United States,43,"crime, drama, mystery, thriller, 2000s, 2010s, usa, christmas, valentine's","A teen noir/mystery drama about a high school student who moonlights as a private investigator, solving crimes in her hometown of Neptune, California.",,"The show aired 2 Christmas episodes, and 1 Valentine's Day episode.",,,,,,,,,,,,,,,,,,,,,
The Mentalist,7,2008–2015,https://www.imdb.com/title/tt1196946/?ref_=fn_al_tt_1,United States,43,"crime, drama, mystery, thriller, 2000s, 2010s, usa, christmas, halloween",A former psychic uses his skills of observation and deduction to assist the California Bureau of Investigation in this popular crime drama.,,"The show aired 1 Christmas episode, and 1 Halloween episode.",,,,,,,,,,,,,,,,,,,,,
Hannah Montana,4,2006–2011,https://www.imdb.com/title/tt0493093/?ref_=fn_al_tt_1,United States,22,"comedy, family, sitcom, music, 2000s, 2010s, usa, christmas, halloween",A teen pop star leads a double life as a regular high school student in order to keep her fame a secret from her classmates and maintain a sense of normalcy.,,"The show aired 1 Christmas episode, and 1 Halloween episode.",,,,,,,,,,,,,,,,,,,,,
Moonlighting,5,1985–1989,https://www.imdb.com/title/tt0088571/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_Moonlighting,United States,43,"comedy, drama, mystery, romance, 80s, usa, christmas, halloween","Maddie, a former model, partners with David in a detective agency after going bankrupt. They solve cases and navigate their complicated relationship.",,,,,,,,,,,,,,,,,,,,,,,
